"id","destination","date","Accommodations","average_rating","average_price"
"1","xios","2020-11-24","61","7.513114754098362","70.21311475409836"
"2","null","null","0","0.0","0.0"
"3","samos","2020-12-15","135","7.177037037037039","40.25185185185185"
"4","Amorgos","2020-11-30","138","9.044202898550717","79.02173913043478"
"5","null","null","0","0.0","0.0"
"6","Andros","2020-11-26","46","5.910869565217389","75.32608695652173"
"7","Chania","2020-12-14","204","7.732843137254902","70.30392156862744"
"8","Pamos","2020-11-25","160","7.225000000000004","76.325"
"9","Tinos","2020-12-25","104","5.331730769230769","95.76259615384615"
"10","Mykonos","2020-12-15","270","5.642222222222222","115.21080370370369"
"11","Aigina","2020-11-12","103","5.62135922330097","66.63106796116504"
"12","Aigina","2020-12-31","46","4.480434782608696","135.7826086956522"
"13","Bolos","2020-11-25","83","7.354216867469881","93.55421686746988"
"14","Chania","2020-11-25","188","7.91276595744681","67.86702127659575"
"15","Araxwva","2020-11-23","40","6.650000000000001","54.7"
"16","Pilio","2020-12-25","286","6.1930069930069855","95.44405594405595"
"17","Xios","2020-11-25","79","7.526582278481017","63.151898734177216"
"18","xios","2020-11-25","97","7.544329896907223","58.75257731958763"
"19","xios","2020-11-20","230","7.564782608695654","49.13913043478261"
"20","Andros","2020-11-22","65","5.284615384615383","101.81538461538462"
"21","Chios","2020-11-17","67","7.405970149253734","68.29850746268657"
"22","Chios","2020-11-25","123","7.09918699186992","52.21951219512195"
"23","Chios","2020-11-25","283","7.13922261484098","33.579505300353354"
"24","Bolos","2020-11-25","190","6.928421052631577","98.15263157894736"
"25","xios","2020-11-25","160","7.575000000000007","50.81875"
"26","xios","2020-11-25","61","7.498360655737708","70.06557377049181"
"27","xios","2020-11-25","61","7.498360655737708","69.57377049180327"
